Reporter intensity corrected 1 DDA_1	Reporter intensity corrected 2 DDA_1	Reporter intensity corrected 3 DDA_1	Reporter intensity corrected 4 DDA_1	Reporter intensity corrected 5 DDA_1	Reporter intensity corrected 6 DDA_1	Reporter intensity corrected 7 DDA_1	Reporter intensity corrected 8 DDA_1	Reporter intensity corrected 1 DDA_2	Reporter intensity corrected 2 DDA_2	Reporter intensity corrected 3 DDA_2	Reporter intensity corrected 4 DDA_2	Reporter intensity corrected 5 DDA_2	Reporter intensity corrected 6 DDA_2	Reporter intensity corrected 7 DDA_2	Reporter intensity corrected 8 DDA_2	Reporter intensity corrected 1 DDA_3	Reporter intensity corrected 2 DDA_3	Reporter intensity corrected 3 DDA_3	Reporter intensity corrected 4 DDA_3	Reporter intensity corrected 5 DDA_3	Reporter intensity corrected 6 DDA_3	Reporter intensity corrected 7 DDA_3	Reporter intensity corrected 8 DDA_3	Reporter intensity corrected 1 DDA_4	Reporter intensity corrected 2 DDA_4	Reporter intensity corrected 3 DDA_4	Reporter intensity corrected 4 DDA_4	Reporter intensity corrected 5 DDA_4	Reporter intensity corrected 6 DDA_4	Reporter intensity corrected 7 DDA_4	Reporter intensity corrected 8 DDA_4	Reporter intensity corrected 1 IDA_1	Reporter intensity corrected 2 IDA_1	Reporter intensity corrected 3 IDA_1	Reporter intensity corrected 4 IDA_1	Reporter intensity corrected 5 IDA_1	Reporter intensity corrected 6 IDA_1	Reporter intensity corrected 7 IDA_1	Reporter intensity corrected 8 IDA_1	Reporter intensity corrected 1 IDA_2	Reporter intensity corrected 2 IDA_2	Reporter intensity corrected 3 IDA_2	Reporter intensity corrected 4 IDA_2	Reporter intensity corrected 5 IDA_2	Reporter intensity corrected 6 IDA_2	Reporter intensity corrected 7 IDA_2	Reporter intensity corrected 8 IDA_2	Reporter intensity corrected 1 IDA_3	Reporter intensity corrected 2 IDA_3	Reporter intensity corrected 3 IDA_3	Reporter intensity corrected 4 IDA_3	Reporter intensity corrected 5 IDA_3	Reporter intensity corrected 6 IDA_3	Reporter intensity corrected 7 IDA_3	Reporter intensity corrected 8 IDA_3	Reporter intensity corrected 1 IDA_4	Reporter intensity corrected 2 IDA_4	Reporter intensity corrected 3 IDA_4	Reporter intensity corrected 4 IDA_4	Reporter intensity corrected 5 IDA_4	Reporter intensity corrected 6 IDA_4	Reporter intensity corrected 7 IDA_4	Reporter intensity corrected 8 IDA_4	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Experiments}DDA_1	DDA_1	DDA_1	DDA_1	DDA_1	DDA_1	DDA_1	DDA_1	DDA_2	DDA_2	DDA_2	DDA_2	DDA_2	DDA_2	DDA_2	DDA_2	DDA_3	DDA_3	DDA_3	DDA_3	DDA_3	DDA_3	DDA_3	DDA_3	DDA_4	DDA_4	DDA_4	DDA_4	DDA_4	DDA_4	DDA_4	DDA_4	IDA_1	IDA_1	IDA_1	IDA_1	IDA_1	IDA_1	IDA_1	IDA_1	IDA_2	IDA_2	IDA_2	IDA_2	IDA_2	IDA_2	IDA_2	IDA_2	IDA_3	IDA_3	IDA_3	IDA_3	IDA_3	IDA_3	IDA_3	IDA_3	IDA_4	IDA_4	IDA_4	IDA_4	IDA_4	IDA_4	IDA_4	IDA_4																	
#!{C:Channels}1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8																	
#!{C:Samples}Kidney	Muscle	Cerebellum	Cerebrum	Liver	Lung	Heart	Spleen	Cerebellum	Kidney	Liver	Muscle	Lung	Heart	Cerebrum	Spleen	Lung	Spleen	Liver	Muscle	Heart	Cerebrum	Cerebellum	Kidney	Muscle	Spleen	Kidney	Cerebellum	Heart	Lung	Liver	Cerebrum	Kidney	Muscle	Cerebellum	Cerebrum	Liver	Lung	Heart	Spleen	Cerebellum	Kidney	Liver	Muscle	Lung	Heart	Cerebrum	Spleen	Lung	Spleen	Liver	Muscle	Heart	Cerebrum	Cerebellum	Kidney	Muscle	Spleen	Kidney	Cerebellum	Heart	Lung	Liver	Cerebrum																	
-3.06105947494507	-4.3949875831604	-3.51399612426758	-1.60717701911926	-3.65841054916382	-2.52466607093811	-4.24556064605713	-3.1690309047699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	0.7	0.7	0.7	220.26	0	4.0134	391020	1	sp|A2A690|TANC2_MOUSE	sp|A2A690|TANC2_MOUSE	26
-3.48114657402039	-4.54516696929932	-2.29789209365845	-2.01584076881409	-3.72209620475769	-3.04859113693237	-4.41482210159302	-2.52724194526672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.36215782165527	-2.94752836227417	-2.94330549240112	-2.94875311851501	-3.35058856010437	-3.44029474258423	-2.98816084861755	-2.02315235137939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.15830063819885	-2.59170126914978	-3.10954546928406	-3.82873177528381	-4.67857074737549	-2.34791278839111	-2.7962601184845	-2.67641091346741	-4.63698387145996	-2.90346813201904	-2.86701536178589	-3.33440351486206	-2.79065895080566	-3.40361833572388	-3.1323881149292	-2.07764983177185				1	1	1	0.6	0.6	0.6	217.75	0	8.8398	3440800	6	sp|Q6PDQ2|CHD4_MOUSE;sp|A2A8L1|CHD5_MOUSE	sp|Q6PDQ2|CHD4_MOUSE;sp|A2A8L1|CHD5_MOUSE	27
-5.65282869338989	-1.06009638309479	-3.89252114295959	-5.43097543716431	-6.72443199157715	-4.43337392807007	-1.63692986965179	-4.91375970840454	-4.04384803771973	-4.56928205490112	-4.3797402381897	-0.963166236877441	-5.20966815948486	-2.084547996521	-5.03831434249878	-4.53747415542603	-4.42200994491577	-3.66169309616089	-3.37693476676941	-1.92895126342773	-3.59844827651978	-3.20343542098999	-3.59925222396851	-3.19971919059753	-1.97806560993195	-4.86661529541016	-3.45426893234253	-3.4451105594635	-3.18783855438232	-4.83131694793701	-5.15174674987793	-5.1798152923584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.43396615982056	-1.40564262866974	-4.56091499328613	-1.81066250801086	-4.46090984344482	-3.04799461364746	-4.70587158203125	-4.49905920028687	-4.77224922180176	-3.58760213851929	-3.01671624183655	-2.1590735912323	-3.68506908416748	-2.96555876731873	-3.30828714370728	-3.20489811897278	-2.00329303741455	-5.19691181182861	-1.29420781135559	-3.39874076843262	-2.99424076080322	-4.60208749771118	-5.05658721923828	-5.3799204826355				6	6	6	4.6	4.6	4.6	966.36	0	32.057	265630000	16	sp|A2AAJ9|OBSCN_MOUSE	sp|A2AAJ9|OBSCN_MOUSE	28
-2.35527610778809	-5.2371563911438	-3.03883600234985	-3.27858352661133	-2.82163596153259	-3.21933722496033	-2.35749244689941	-3.1925790309906	-2.63092994689941	-2.78061151504517	-2.59318041801453	-4.64949369430542	-4.05947065353394	-2.44261431694031	-2.80934715270996	-3.30928802490234	-3.26548314094543	-3.53787636756897	-2.54313087463379	-3.86360907554626	-2.57621741294861	-3.32319808006287	-3.28040480613709	-2.60524439811707	-4.77952146530151	-3.74122309684753	-2.68473505973816	-2.87123155593872	-2.04781556129456	-3.55872058868408	-2.43822908401489	-3.54982280731201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.94931030273438	-2.6921751499176	-2.24236226081848	-4.19126081466675	-4.15608692169189	-2.36899828910828	-3.06927013397217	-3.62752032279968	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.89466524124146	-3.95243382453918	-2.66392230987549	-2.94686079025269	-1.82475006580353	-3.77215051651001	-2.40361833572388	-3.83974051475525				2	2	2	1.3	1.3	1.3	225.63	0.0023909	1.7509	58548000	2	sp|A2AGT5|CKAP5_MOUSE	sp|A2AGT5|CKAP5_MOUSE	29
-3.68147373199463	-4.14307975769043	-2.48059892654419	-2.20996189117432	-4.55846548080444	-2.83248805999756	-3.19469094276428	-2.71028351783752	-2.22209429740906	-3.73245215415955	-3.52254247665405	-3.81542778015137	-3.83565640449524	-3.79477763175964	-2.10395288467407	-2.47160863876343	-3.88911843299866	-2.74410057067871	-3.97215533256531	-3.51647067070007	-3.4545693397522	-2.00098133087158	-2.17879581451416	-3.82975697517395	-3.67462277412415	-2.69320106506348	-3.97553277015686	-2.20742774009705	-2.92313981056213	-3.52431750297546	-3.85962438583374	-2.32669687271118	-3.70335102081299	-3.77288007736206	-2.64430713653564	-2.22391295433044	-4.36837244033813	-2.85048055648804	-2.79415702819824	-2.78746795654297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.6209557056427	-2.54616117477417	-4.03313255310059	-3.30315160751343	-3.61636590957642	-2.12129831314087	-2.30557441711426	-3.8068413734436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	1.2	1.2	1.2	93.275	0	5.4488	7311600	17	sp|A2AJI0|MA7D1_MOUSE	sp|A2AJI0|MA7D1_MOUSE	30
-1.27059078216553	-4.03542518615723	-3.31114816665649	-3.32565498352051	-4.06641530990601	-3.69100093841553	-3.86046242713928	-3.18573665618896	-3.86623668670654	-1.63850116729736	-2.91223859786987	-4.25288581848145	-3.69935369491577	-2.96150755882263	-3.32457065582275	-3.96157503128052	-4.5553412437439	-4.43437147140503	-4.49570322036743	-3.73097634315491	-4.13190746307373	-3.96641564369202	-4.38926219940186	-0.83025449514389	-5.59213590621948	-4.89050817489624	-0.325448989868164	-3.90234613418579	-6.10026121139526	-5.05562734603882	-5.29121065139771	-5.93694972991943	-0.775737404823303	-4.49021291732788	-3.31688737869263	-3.69693827629089	-4.7562141418457	-4.08367919921875	-4.65802812576294	-3.95500445365906	-4.06499004364014	-2.10792779922485	-3.50687742233276	-4.17610692977905	-4.02653408050537	-3.44368147850037	-3.41825747489929	-4.05925416946411	-3.70643639564514	-4.21643781661987	-3.56100034713745	-4.13616323471069	-4.42194843292236	-3.51954460144043	-4.13547801971436	-1.1808876991272	-3.96092343330383	-2.91365098953247	-1.9524894952774	-3.29222774505615	-3.68846893310547	-4.14867258071899	-3.70884919166565	-3.65007328987122				14	14	14	3.8	3.8	3.8	519.2	0	63.883	165900000	71	sp|A2ARV4|LRP2_MOUSE	sp|A2ARV4|LRP2_MOUSE	31
