Column.1	Column.2	Column.3	Column.4	Column.5	Column.6	Column.7	Column.8	Column.9	Column.10	Column.11	Column.12	Column.13	Column.14	Column.15	medianVal	MinusLog10PValue	medianFold	CorrectedPValueBH	ANOVApVal	g2.g1	g3.g1	g3.g2	Group2.Group1.PvalueTukeyHSD	Group3.Group1.PvalueTukeyHSD	Group3.Group2.PvalueTukeyHSD	Group2.Group1.mLog10PvalueTukeyHSD	Group3.Group1.mLog10PvalueTukeyHSD	Group3.Group2.mLog10PvalueTukeyHSD	Name
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	T
#!{C:Grouping}Group1	Group1	Group1	Group1	Group1	Group2	Group2	Group2	Group2	Group2	Group3	Group3	Group3	Group3	Group3	AOV	AOV	AOV	AOV	AOV	AOV	AOV	AOV	AOV	AOV	AOV	AOV	AOV	AOV	
0.365928798913956	0.844130218029022	-0.260998487472534	0.100485935807228	-0.163922041654587	1.14135146141052	1.27093291282654	-0.408465892076492	-1.25660026073456	0.25285130739212	-0.0185530185699463	-0.447606682777405	-0.646116197109222	-0.337788492441177	0.142017215490341	-0.0185530185699463	0.290810177793473	0.987222363609208	0.945853074646211	0.511905531232444	0.1318696	1.46466218	1.33279258	0.998489766352854	0.588600243551257	0.557688562674924	0.000656381909213383	0.230179562533817	0.253608262121497	Row 1
-1.18108320236206	-0.824611783027649	0.352505743503571	1.22956717014313	0.248642116785049	0.384655028581619	0.693847298622131	0.567517876625061	0.918731272220612	1.24714601039886	-0.903510808944702	0.318646550178528	-0.346383482217789	0.297529399394989	1.28334951400757	0.352505743503571	0.595485980195896	1.27677627028895	0.926188738141948	0.253813092005555	0.1318696	1.46466218	1.33279258	0.258815490621233	0.937232113106332	0.412108667887792	0.58700973383799	0.028152839253539	0.384988250856996	Row 2
-0.1187654286623	-0.838872134685516	-1.76814210414886	-0.681269884109497	-0.0593479536473751	-2.09778189659119	0.302222192287445	-1.3518979549408	-0.223195761442184	2.20345664024353	-0.277110934257507	0.32008695602417	-1.10929954051971	-0.166212394833565	0.0415107496082783	-0.223195761442184	0.126569313356839	0.856665704634311	0.950206844386612	0.747189373323608	0.1318696	1.46466218	1.33279258	0.783314628551032	0.787187376060349	0.999973199549854	0.106063762848854	0.103921879199798	1.16394435828023e-05	Row 3
-0.274530649185181	0.726709187030792	0.738922297954559	-1.67805206775665	0.739386677742004	1.0185934305191	-0.509393870830536	0.257760643959045	-1.31019854545593	-0.336146295070648	1.57740032672882	1.5785608291626	0.623566865921021	-1.04979968070984	-0.162317276000977	0.257760643959045	0.241460906468446	1.19562141600842	0.945853074646211	0.573507489177585	0.1318696	1.46466218	1.33279258	0.935888413588174	0.761692188493806	0.55604842917427	0.0287759293087239	0.118220498274846	0.254887381786278	Row 4
0.550150096416473	-0.677680552005768	-0.282659947872162	1.28120887279511	-0.639091014862061	1.15470147132874	-0.134913131594658	-0.467745721340179	1.78085374832153	0.132182568311691	-1.14010965824127	1.69572162628174	2.41747522354126	-0.36000782251358	-0.016686687245965	-0.016686687245965	0.118159992366768	0.988500302633314	0.950206844386612	0.761798314843603	0.1318696	1.46466218	1.33279258	0.808418301407785	0.788286791627371	0.999251082265938	0.0923638632536614	0.103315750325871	0.000325372693206252	Row 5
-1.22321009635925	-0.92034912109375	1.42768049240112	0.893778741359711	0.384675860404968	-0.15445265173912	0.753318905830383	0.583209633827209	-1.95778667926788	0.142592772841454	-0.577569723129272	1.11862289905548	-0.714365661144257	-0.0937326401472092	0.243456274271011	0.142592772841454	0.0305297094014992	1.10388721075355	0.97279476323591	0.932116703524922	0.1318696	1.46466218	1.33279258	0.925490699186591	0.981468907636894	0.979979997184415	0.0336279413759472	0.00812345404218327	0.00878278879841208	Row 6
-0.0444041453301907	-0.170098528265953	-0.809059500694275	1.85139107704163	-0.816383481025696	-0.040041845291853	0.557928621768951	0.400418400764465	-0.498599082231522	-0.0646668300032616	-0.766326665878296	-0.671176910400391	0.274991720914841	-0.836685299873352	-0.312094897031784	-0.170098528265953	0.325587148100006	0.888781980093108	0.945853074646211	0.472512010329074	0.1318696	1.46466218	1.33279258	0.987736115152048	0.58370842067187	0.496908074279386	0.00535906658727122	0.23380404144237	0.303723946328541	Row 7
0.348361968994141	-1.28056514263153	-2.15294551849365	-0.236608579754829	0.107163332402706	1.66697871685028	0.647642374038696	-0.437672317028046	-0.389560759067535	-0.183987095952034	0.569166898727417	-1.12102568149567	-0.38257160782814	0.0510228686034679	-0.361138463020325	-0.236608579754829	0.525612786188158	0.848738143177621	0.926188738141948	0.298117323730557	0.1318696	1.46466218	1.33279258	0.270015076221106	0.761109562846649	0.637912177805491	0.568611986445304	0.118552821396617	0.195239107046522	Row 8
